Date: 2013-05-10 Time: 15:40:49

Log statistics for channel: 0
Data frames: 616294
Error frames: 0
Overload frames: 0
Max bus load: 19%

Log statistics for channel: 1
Data frames: 0
Error frames: 0
Overload frames: 0
Max bus load: 0%

Log statistics for channel: 2
Data frames: 0
Error frames: 0
Overload frames: 0
Max bus load: 0%

Log statistics for channel: 3
Data frames: 0
Error frames: 0
Overload frames: 0
Max bus load: 0%

Ch	No	TIME	TYPE	ID	DLC	MSG
0	606545	560,6348	Std	10	6	[00, 03, 04, 84, 79, EB]
0	606546	560,6361	Std	281	4	[01, D7, A7, 5D]
0	606547	560,6388	Std	0	1	[55]
0	606548	560,6392	Std	211	6	[02, 03, 04, 84, 7E, DB]
0	606549	560,6396	Std	8	1	[03]
0	606550	560,6398	Std	10	6	[00, 03, 04, 84, 78, 94]
0	606551	560,6411	Std	281	4	[01, D7, A7, 5E]
0	606552	560,6438	Std	0	1	[55]
0	606553	560,6442	Std	211	6	[01, 03, 04, 84, 7D, 82]
0	606554	560,6446	Std	8	1	[03]
0	606555	560,6448	Std	10	6	[00, 03, 04, 84, 77, 3D]
0	606556	560,6461	Std	281	4	[01, D7, A7, 5D]
0	606557	560,6465	Std	209	3	[03, FF, FF]
0	606558	560,6488	Std	0	1	[55]
0	606559	560,6492	Std	211	6	[02, 03, 04, 84, 7C, 2A]
0	606560	560,6496	Std	8	1	[03]
0	606561	560,6498	Std	10	6	[00, 03, 04, 84, 75, E6]
0	606562	560,6511	Std	281	4	[01, D7, A7, 5D]
0	606563	560,6538	Std	0	1	[55]
0	606564	560,6542	Std	211	6	[00, 03, 04, 84, 7A, D1]
0	606565	560,6546	Std	8	1	[03]
0	606566	560,6548	Std	10	6	[00, 03, 04, 84, 74, 8F]
0	606567	560,6561	Std	281	4	[01, D7, A7, 5D]
0	606568	560,6588	Std	0	1	[55]
0	606569	560,6592	Std	211	6	[02, 03, 04, 84, 79, 79]
0	606570	560,6596	Std	8	1	[03]
0	606571	560,6598	Std	10	6	[00, 03, 04, 84, 73, 37]
0	606572	560,6611	Std	281	4	[01, D7, A7, 5D]
0	606573	560,6638	Std	0	1	[55]
0	606574	560,6642	Std	211	6	[01, 03, 04, 84, 78, 21]
0	606575	560,6646	Std	8	1	[03]
0	606576	560,6648	Std	10	6	[00, 03, 04, 84, 71, E0]
0	606577	560,6661	Std	281	4	[01, D7, A7, 5D]
0	606578	560,6669	Std	209	3	[03, FF, FF]
0	606579	560,6688	Std	0	1	[55]
0	606580	560,6692	Std	211	6	[02, 03, 04, 84, 76, CC]
0	606581	560,6696	Std	8	1	[03]
0	606582	560,6698	Std	10	6	[00, 03, 04, 84, 70, 89]
0	606583	560,6700	Std	408	4	[00, 63, 00, 17]
0	606584	560,6704	Std	409	4	[00, 17, 00, 2E]
0	606585	560,6711	Std	281	4	[01, D7, A7, 5D]
0	606586	560,6738	Std	0	1	[55]
0	606587	560,6742	Std	211	6	[01, 03, 04, 84, 75, 75]
0	606588	560,6746	Std	8	1	[03]
0	606589	560,6748	Std	10	6	[00, 03, 04, 84, 6F, 32]
0	606590	560,6761	Std	281	4	[01, D7, A7, 5D]
0	606591	560,6788	Std	0	1	[55]
0	606592	560,6792	Std	211	6	[02, 03, 04, 84, 74, 1F]
0	606593	560,6796	Std	8	1	[03]
0	606594	560,6798	Std	10	6	[00, 03, 04, 84, 6D, DA]
0	606595	560,6811	Std	281	4	[01, D7, A7, 5D]
0	606596	560,6838	Std	0	1	[55]
0	606597	560,6842	Std	211	6	[01, 03, 04, 84, 72, C7]
0	606598	560,6846	Std	8	1	[03]
0	606599	560,6848	Std	10	6	[00, 03, 04, 84, 6C, 83]
0	606600	560,6861	Std	281	4	[01, D7, A7, 5D]
0	606601	560,6874	Std	209	3	[03, FF, FF]
0	606602	560,6888	Std	0	1	[55]
0	606603	560,6892	Std	211	6	[02, 03, 04, 84, 71, 70]
0	606604	560,6896	Std	8	1	[03]
0	606605	560,6898	Std	10	6	[00, 03, 04, 84, 6B, 2C]
0	606606	560,6911	Std	281	4	[01, D7, A7, 5D]
0	606607	560,6938	Std	0	1	[55]
0	606608	560,6942	Std	211	6	[01, 03, 04, 84, 70, 18]
0	606609	560,6946	Std	8	1	[03]
0	606610	560,6948	Std	10	6	[00, 03, 04, 84, 69, D5]
0	606611	560,6961	Std	281	4	[01, D7, A7, 5D]
0	606612	560,6988	Std	0	1	[55]
0	606613	560,6992	Std	211	6	[02, 03, 04, 84, 6E, C1]
0	606614	560,6996	Std	8	1	[03]
0	606615	560,6998	Std	10	6	[00, 03, 04, 84, 68, 7E]
0	606616	560,7011	Std	281	4	[01, D7, A7, 5D]
0	606617	560,7038	Std	0	1	[55]
0	606618	560,7042	Std	211	6	[01, 03, 04, 84, 6D, 69]
0	606619	560,7046	Std	8	1	[03]
0	606620	560,7048	Std	10	6	[00, 03, 04, 84, 67, 26]
0	606621	560,7061	Std	281	4	[01, D7, A7, 5D]
0	606622	560,7077	Std	209	3	[03, FF, FF]
0	606623	560,7088	Std	0	1	[55]
0	606624	560,7092	Std	211	6	[02, 03, 04, 84, 6C, 13]
0	606625	560,7096	Std	8	1	[03]
0	606626	560,7098	Std	10	6	[00, 03, 04, 84, 65, CF]
0	606627	560,7100	Std	410	4	[1D, 9D, 03, B7]
0	606628	560,7103	Std	411	4	[1D, 9D, 03, B7]
0	606629	560,7111	Std	281	4	[01, D7, A7, 5D]
0	606630	560,7138	Std	0	1	[55]
0	606631	560,7142	Std	211	6	[01, 03, 04, 84, 6A, BC]
0	606632	560,7146	Std	8	1	[03]
0	606633	560,7148	Std	10	6	[00, 03, 04, 84, 64, 78]
0	606634	560,7161	Std	281	4	[01, D7, A7, 5D]
0	606635	560,7188	Std	0	1	[55]
0	606636	560,7192	Std	211	6	[02, 03, 04, 84, 69, 66]
0	606637	560,7196	Std	8	1	[03]
0	606638	560,7198	Std	10	6	[00, 03, 04, 84, 63, 21]
0	606639	560,7211	Std	281	4	[01, D7, A7, 5D]
0	606640	560,7238	Std	0	1	[55]
0	606641	560,7242	Std	211	6	[01, 03, 04, 84, 68, 0E]
0	606642	560,7246	Std	8	1	[03]
0	606643	560,7248	Std	10	6	[00, 03, 04, 84, 61, C9]
0	606644	560,7261	Std	281	4	[01, D7, A7, 5D]
0	606645	560,7282	Std	209	3	[03, FF, FF]
0	606646	560,7288	Std	0	1	[55]
0	606647	560,7292	Std	211	6	[02, 03, 04, 84, 66, B8]
0	606648	560,7296	Std	8	1	[03]
0	606649	560,7298	Std	10	6	[00, 03, 04, 84, 60, 72]
0	606650	560,7311	Std	281	4	[01, D7, A7, 5E]
0	606651	560,7338	Std	0	1	[55]
0	606652	560,7342	Std	211	6	[01, 03, 04, 84, 65, 61]
0	606653	560,7346	Std	8	1	[03]
0	606654	560,7348	Std	10	6	[00, 03, 04, 84, 5F, 1B]
0	606655	560,7361	Std	281	4	[01, D8, A7, 5D]
0	606656	560,7388	Std	0	1	[55]
0	606657	560,7392	Std	211	6	[02, 03, 04, 84, 64, 0B]
0	606658	560,7396	Std	8	1	[03]
0	606659	560,7398	Std	10	6	[00, 03, 04, 84, 5D, C4]
0	606660	560,7411	Std	281	4	[01, D7, A7, 5D]
0	606661	560,7438	Std	0	1	[55]
0	606662	560,7442	Std	211	6	[01, 03, 04, 84, 62, B3]
0	606663	560,7446	Std	8	1	[03]
0	606664	560,7448	Std	10	6	[00, 03, 04, 84, 5C, 6D]
0	606665	560,7461	Std	281	4	[01, D7, A7, 5D]
0	606666	560,7486	Std	209	3	[03, FF, FF]
0	606667	560,7488	Std	0	1	[55]
0	606668	560,7492	Std	211	6	[02, 03, 04, 84, 61, 5D]
0	606669	560,7496	Std	8	1	[03]
0	606670	560,7498	Std	10	6	[00, 03, 04, 84, 5B, 15]
0	606671	560,7511	Std	281	4	[01, D7, A7, 5E]
0	606672	560,7538	Std	0	1	[55]
0	606673	560,7542	Std	211	6	[01, 03, 04, 84, 60, 04]
0	606674	560,7546	Std	8	1	[03]
0	606675	560,7548	Std	10	6	[00, 03, 04, 84, 59, BE]
0	606676	560,7561	Std	281	4	[01, D7, A7, 5E]
0	606677	560,7588	Std	0	1	[55]
0	606678	560,7592	Std	211	6	[02, 03, 04, 84, 5E, AC]
0	606679	560,7596	Std	8	1	[03]
0	606680	560,7598	Std	10	6	[00, 03, 04, 84, 58, 67]
0	606681	560,7611	Std	281	4	[01, D7, A7, 5D]
0	606682	560,7638	Std	0	1	[55]
0	606683	560,7640	Std	211	6	[00, 03, 04, 84, 5D, 61]
0	606684	560,7646	Std	8	1	[03]
0	606685	560,7648	Std	10	6	[00, 03, 04, 84, 57, 10]
0	606686	560,7661	Std	281	4	[01, D8, A7, 5D]
0	606687	560,7688	Std	0	1	[55]
0	606688	560,7690	Std	209	3	[03, FF, FF]
0	606689	560,7692	Std	211	6	[02, 03, 04, 84, 5B, FB]
0	606690	560,7696	Std	8	1	[03]
0	606691	560,7698	Std	10	6	[00, 03, 04, 84, 55, B8]
0	606692	560,7711	Std	281	4	[01, D7, A7, 5D]
0	606693	560,7738	Std	0	1	[55]
0	606694	560,7742	Std	211	6	[00, 03, 04, 84, 5A, A2]
0	606695	560,7746	Std	8	1	[03]
0	606696	560,7748	Std	10	6	[00, 03, 04, 84, 54, 61]
0	606697	560,7761	Std	281	4	[01, D7, A7, 5E]
0	606698	560,7788	Std	0	1	[55]
0	606699	560,7792	Std	211	6	[02, 03, 04, 84, 59, 4C]
0	606700	560,7796	Std	8	1	[03]
0	606701	560,7798	Std	10	6	[00, 03, 04, 84, 53, 0A]
0	606702	560,7811	Std	281	4	[01, D7, A7, 5D]
0	606703	560,7838	Std	0	1	[55]
0	606704	560,7842	Std	211	6	[01, 03, 04, 84, 57, F4]
0	606705	560,7846	Std	8	1	[03]
0	606706	560,7848	Std	10	6	[00, 03, 04, 84, 51, B3]
0	606707	560,7861	Std	281	4	[01, D7, A7, 5D]
0	606708	560,7888	Std	0	1	[55]
0	606709	560,7892	Std	211	6	[02, 03, 04, 84, 56, 9E]
0	606710	560,7895	Std	209	3	[03, FF, FF]
0	606711	560,7896	Std	8	1	[03]
0	606712	560,7898	Std	10	6	[00, 03, 04, 84, 50, 5C]
0	606713	560,7911	Std	281	4	[01, D7, A7, 5D]
0	606714	560,7938	Std	0	1	[55]
0	606715	560,7942	Std	211	6	[01, 03, 04, 84, 55, 47]
0	606716	560,7946	Std	8	1	[03]
0	606717	560,7948	Std	10	6	[00, 03, 04, 84, 4F, 04]
0	606718	560,7961	Std	281	4	[01, D7, A7, 5E]
0	606719	560,7988	Std	0	1	[55]
0	606720	560,7992	Std	211	6	[02, 03, 04, 84, 53, F1]
0	606721	560,7996	Std	8	1	[03]
0	606722	560,7998	Std	10	6	[00, 03, 04, 84, 4D, AD]
0	606723	560,8011	Std	281	4	[01, D7, A7, 5D]
0	606724	560,8038	Std	0	1	[55]
0	606725	560,8042	Std	211	6	[01, 03, 04, 84, 52, 9A]
0	606726	560,8046	Std	8	1	[03]
0	606727	560,8048	Std	10	6	[00, 03, 04, 84, 4C, 56]
0	606728	560,8061	Std	281	4	[01, D7, A7, 5E]
0	606729	560,8088	Std	0	1	[55]
0	606730	560,8092	Std	211	6	[02, 03, 04, 84, 51, 43]
0	606731	560,8096	Std	8	1	[03]
0	606732	560,8098	Std	10	6	[00, 03, 04, 84, 4A, FF]
0	606733	560,8100	Std	209	3	[03, FF, FF]
0	606734	560,8111	Std	281	4	[01, D8, A7, 5D]
0	606735	560,8138	Std	0	1	[55]
0	606736	560,8140	Std	211	6	[01, 03, 04, 84, 4F, F7]
0	606737	560,8146	Std	8	1	[03]
0	606738	560,8148	Std	10	6	[00, 03, 04, 84, 49, A7]
0	606739	560,8150	Std	410	4	[1D, 9D, 03, E9]
0	606740	560,8151	Std	411	4	[1D, 9D, 03, E9]
0	606741	560,8161	Std	281	4	[01, D7, A7, 5D]
0	606742	560,8188	Std	0	1	[55]
0	606743	560,8190	Std	211	6	[02, 03, 04, 84, 4E, A1]
0	606744	560,8196	Std	8	1	[03]
0	606745	560,8198	Std	10	6	[00, 03, 04, 84, 48, 50]
0	606746	560,8211	Std	281	4	[01, D7, A7, 5D]
0	606747	560,8238	Std	0	1	[55]
0	606748	560,8242	Std	211	6	[03, 03, 04, 84, 4D, 3A]
0	606749	560,8246	Std	8	1	[03]
0	606750	560,8248	Std	10	6	[00, 03, 04, 84, 46, F9]
0	606751	560,8261	Std	281	4	[01, D7, A7, 5D]
0	606752	560,8288	Std	0	1	[55]
0	606753	560,8292	Std	211	6	[00, 03, 04, 84, 4B, DD]
0	606754	560,8296	Std	8	1	[03]
0	606755	560,8298	Std	10	6	[00, 03, 04, 84, 45, A2]
0	606756	560,8302	Std	209	3	[03, FF, FF]
0	606757	560,8311	Std	281	4	[01, D7, A7, 5D]
0	606758	560,8338	Std	0	1	[55]
